"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSAMXG00000000002",20.1007278586614,-0.0318665495548588,0.284959683110441,-0.111828274115916,0.910959568627857,0.977866879579745
"ENSAMXG00000000004",22.508202631471,1.04367344512956,0.373466584700059,2.79455642856981,0.00519709698430594,0.0974331681713094
"ENSAMXG00000000008",334.638562001975,-0.147275163546023,0.164392122306859,-0.89587725664321,0.370318322281665,0.765756570237496
"ENSAMXG00000000010",0.182382952054908,-1.0704772141375,3.11653965008542,-0.343482623142036,0.731235411288379,NA
"ENSAMXG00000000017",50.8898852555848,0.224693371710497,0.297360925092663,0.755625076295678,0.449874016787778,0.810838770037309
"ENSAMXG00000000019",3.65511009165527,1.38696459437361,0.742563657417342,1.86780564941397,0.0617891657290857,NA
"ENSAMXG00000000023",362.135742614519,-0.445009590352196,0.18197590523935,-2.44543138701183,0.0144678974417977,0.179132948861854
"ENSAMXG00000000024",72.3958883388725,-0.182260248108145,0.343877286457576,-0.530015372593183,0.596101272469473,0.882323710313782
"ENSAMXG00000000029",0.0881858582147714,0.372199143020802,3.11653965008542,0.119427052054544,0.904937030224042,NA
"ENSAMXG00000000032",0.401560801557234,-0.585525696645725,1.93171058659915,-0.303112536995806,0.761804100189745,NA
"ENSAMXG00000000033",941.802338666156,0.0354783679576199,0.122119434190306,0.290521882883375,0.771417012217579,0.940970424424889
"ENSAMXG00000000034",5.39970193711481,-0.368624188155746,0.532459606977115,-0.692304511601364,0.488746117430464,NA
"ENSAMXG00000000035",130.963352452897,-0.168685699938216,0.182340281566693,-0.925114837428377,0.354906175888179,0.757502136811572
"ENSAMXG00000000036",2.36162009144253,0.0123753632197466,0.802988991547309,0.0154116225129065,0.987703791104003,NA
"ENSAMXG00000000037",41.2611488259099,0.283672653843469,0.288426744439829,0.983517164451608,0.325352971738313,0.740546527247089
"ENSAMXG00000000039",33.5960945600797,0.244921604528147,0.374061393032619,0.654763119343859,0.512620279311517,0.84350464612326
"ENSAMXG00000000040",14.779199704854,-0.306809168714811,0.370961961958385,-0.827063688942937,0.408200963794523,0.787883939691976
"ENSAMXG00000000041",4.02777895354655,-0.057202747534026,0.74419558459618,-0.0768652068327787,0.938730776554247,NA
"ENSAMXG00000000044",57.5879955961928,0.745646695212565,0.303606495927183,2.45596423401758,0.0140507140776102,0.176798985180122
"ENSAMXG00000000047",41.9665777531451,-0.0231972436789414,0.254626841343296,-0.0911029000578384,0.927410828315096,0.982237205483954
"ENSAMXG00000000049",3.01930762120298,-0.268688641939063,0.705688807260112,-0.380746639559533,0.703391257482523,NA
"ENSAMXG00000000053",26.2553244792469,-0.426100846352643,0.368998527075174,-1.15474945043842,0.248193042848462,0.674319809053529
"ENSAMXG00000000055",162.941041627968,0.192220006813721,0.175286361180701,1.09660560878187,0.272813834593685,0.695672638344483
"ENSAMXG00000000057",2.44137695211319,-0.021831369933405,0.831050393972149,-0.0262696102327299,0.979042294063722,NA
"ENSAMXG00000000061",165.788086432526,0.0538121837258295,0.165437223798905,0.325272526280059,0.744974822131794,0.933581029797026
"ENSAMXG00000000062",10.9637970523726,0.559063743833517,0.375031684603294,1.49071069668391,0.136037466500963,0.541760037408843
"ENSAMXG00000000065",0.774391982640135,0.981405182389292,1.4617993611574,0.671367910307642,0.501986182303491,NA
"ENSAMXG00000000066",90.1968727193016,0.174248990742556,0.15963861041083,1.09152159552207,0.275043434685086,0.69685855219032
"ENSAMXG00000000067",26.371191068714,-0.390410830328076,0.358200554036957,-1.08992246362577,0.275747300399111,0.697739523412432
"ENSAMXG00000000068",33.7418287377518,-0.323347260306822,0.287862086407177,-1.12327143995424,0.261322229583471,0.686073242996295
"ENSAMXG00000000070",11.6243822001574,-0.21168103317353,0.351397201811049,-0.602398175291544,0.546909124334537,0.860272910000493
"ENSAMXG00000000072",9.01428730342163,-0.444068707426714,0.46229549430891,-0.960573297584386,0.336766760148815,0.747712221856214
"ENSAMXG00000000074",125.598089568075,-0.376212939541183,0.592452072662588,-0.635009913714054,0.525421949293194,0.850104071701494
"ENSAMXG00000000075",53.4699474011226,-0.250146079127517,0.224197933716604,-1.11573766528871,0.264534442958637,0.68890890589442
"ENSAMXG00000000077",239.700365728553,-0.0748695091769618,0.178512739277742,-0.41940709374514,0.674918640651655,0.909336093388968
"ENSAMXG00000000079",1.13751714258399,0.3698325822818,1.18076812613966,0.313213554883897,0.754118420873783,NA
"ENSAMXG00000000081",33.6243214362911,0.757732471839557,0.258521207272615,2.9310263549888,0.00337844118187678,0.0733752600176899
"ENSAMXG00000000086",68.5149321415065,-0.317264190859109,0.206672303986582,-1.53510743693894,0.124757439816894,0.522685044818013
"ENSAMXG00000000087",27.5864168048895,-0.0473985282064461,0.288499386305496,-0.164293341533334,0.869500223159366,0.966790823649111
"ENSAMXG00000000088",0,NA,NA,NA,NA,NA
"ENSAMXG00000000090",4.12644658604742,0.290992372421092,0.726584623122101,0.400493436223176,0.688793117003922,NA
"ENSAMXG00000000093",78.0376886178206,-0.852107087532453,0.362849244904754,-2.34837773399839,0.0188553885183889,0.210882430481837
"ENSAMXG00000000099",3.62951415517787,-0.13833455782299,0.659443000185941,-0.209774852085751,0.833843401477486,NA
"ENSAMXG00000000100",15.845154255732,0.162698331180155,0.391014214283897,0.416093137376401,0.677341851465302,0.910468839457382
"ENSAMXG00000000103",131.378532675917,-0.0613094961754689,0.165437832392443,-0.370589334306761,0.710943427284694,0.921193847183092
"ENSAMXG00000000104",475.689326605266,-0.183782407545623,0.131673584472619,-1.39574242078782,0.16279207499933,0.580661054683026
"ENSAMXG00000000107",0.808519307026108,1.77680112138722,1.42001997953057,1.25125079012944,0.210842993107942,NA
"ENSAMXG00000000110",160.953959646551,-0.0241055809210376,0.258048935357041,-0.09341476603143,0.925574060215437,0.982237205483954
"ENSAMXG00000000112",176.235638838014,0.0786418290065902,0.141735738194282,0.554848269099167,0.578998448076822,0.876079558674267
"ENSAMXG00000000116",18.9320592891282,-0.223608155482803,0.496525672816792,-0.450345606933621,0.652461258722105,0.900823296613727
"ENSAMXG00000000117",1.8343038198567,0.703187385321499,1.03634367475703,0.678527212979192,0.497437475547484,NA
"ENSAMXG00000000120",145.862433800783,-0.124846372380296,0.176528052622429,-0.70723247962932,0.479422017510641,0.827216343362503
"ENSAMXG00000000123",32.1774816422622,0.368242754180158,0.456838908068232,0.806066969508555,0.420204235634054,0.793593849304837
"ENSAMXG00000000127",124.806504492714,0.451639079032732,0.225173969042063,2.00573397073427,0.0448846387591107,0.335980933196309
"ENSAMXG00000000130",308.590246005044,0.188269996949891,0.196532675820932,0.957957734831995,0.338084071409279,0.748433295572832
"ENSAMXG00000000131",71.519319948864,0.12207953560722,0.177140719834682,0.68916698385979,0.490718191157945,0.833083202237216
"ENSAMXG00000000132",0.0620010014652856,0.372199143020802,3.11653965008542,0.119427052054544,0.904937030224042,NA
"ENSAMXG00000000133",78.4017605928824,0.0394503657482366,0.188284147560475,0.209525689015139,0.834037883476959,0.957091765675008
"ENSAMXG00000000135",444.839138351538,-0.066232000113588,0.19397575756758,-0.341444729713265,0.732768806625312,0.929430744245886
