"","Namespace","GO_ID","GO_Term"
"1","Biological Process","GO:0000001","mitochondrion inheritance"
"2","Biological Process","GO:0000002","mitochondrial genome maintenance"
"3","Biological Process","GO:0000003","reproduction"
"4","Molecular Function","GO:0000005","obsolete ribosomal chaperone activity"
"5","Molecular Function","GO:0000006","high-affinity zinc transmembrane transporter activity"
"6","Molecular Function","GO:0000007","low-affinity zinc ion transmembrane transporter activity"
"7","Molecular Function","GO:0000008","obsolete thioredoxin"
"8","Molecular Function","GO:0000009","alpha-1,6-mannosyltransferase activity"
"9","Molecular Function","GO:0000010","trans-hexaprenyltranstransferase activity"
"10","Biological Process","GO:0000011","vacuole inheritance"
"11","Biological Process","GO:0000012","single strand break repair"
"12","Molecular Function","GO:0000014","single-stranded DNA endodeoxyribonuclease activity"
"13","Cellular Component","GO:0000015","phosphopyruvate hydratase complex"
"14","Molecular Function","GO:0000016","lactase activity"
"15","Biological Process","GO:0000017","alpha-glucoside transport"
"16","Biological Process","GO:0000018","regulation of DNA recombination"
"17","Biological Process","GO:0000019","regulation of mitotic recombination"
"18","Biological Process","GO:0000020","obsolete negative regulation of recombination within rDNA repeats"
"19","Biological Process","GO:0000022","mitotic spindle elongation"
"20","Biological Process","GO:0000023","maltose metabolic process"
"21","Biological Process","GO:0000024","maltose biosynthetic process"
"22","Biological Process","GO:0000025","maltose catabolic process"
"23","Molecular Function","GO:0000026","alpha-1,2-mannosyltransferase activity"
"24","Biological Process","GO:0000027","ribosomal large subunit assembly"
"25","Biological Process","GO:0000028","ribosomal small subunit assembly"
"26","Molecular Function","GO:0000030","mannosyltransferase activity"
"27","Molecular Function","GO:0000031","mannosylphosphate transferase activity"
"28","Biological Process","GO:0000032","cell wall mannoprotein biosynthetic process"
"29","Molecular Function","GO:0000033","alpha-1,3-mannosyltransferase activity"
"30","Molecular Function","GO:0000034","adenine deaminase activity"
"31","Molecular Function","GO:0000035","acyl binding"
"32","Molecular Function","GO:0000036","acyl carrier activity"
"33","Biological Process","GO:0000038","very long-chain fatty acid metabolic process"
"34","Molecular Function","GO:0000039","obsolete plasma membrane long-chain fatty acid transporter"
"35","Biological Process","GO:0000041","transition metal ion transport"
"36","Biological Process","GO:0000044","obsolete ascorbate stabilization"
"37","Biological Process","GO:0000045","autophagosome assembly"
"38","Molecular Function","GO:0000047","obsolete Rieske iron-sulfur protein"
"39","Molecular Function","GO:0000048","peptidyltransferase activity"
"40","Molecular Function","GO:0000049","tRNA binding"
"41","Biological Process","GO:0000050","urea cycle"
"42","Biological Process","GO:0000051","obsolete urea cycle intermediate metabolic process"
"43","Biological Process","GO:0000052","citrulline metabolic process"
"44","Biological Process","GO:0000053","argininosuccinate metabolic process"
"45","Biological Process","GO:0000054","ribosomal subunit export from nucleus"
"46","Biological Process","GO:0000055","ribosomal large subunit export from nucleus"
"47","Biological Process","GO:0000056","ribosomal small subunit export from nucleus"
"48","Biological Process","GO:0000059","obsolete protein import into nucleus, docking"
"49","Biological Process","GO:0000060","obsolete protein import into nucleus, translocation"
"50","Biological Process","GO:0000061","obsolete protein import into nucleus, substrate release"
"51","Molecular Function","GO:0000062","fatty-acyl-CoA binding"
"52","Molecular Function","GO:0000064","L-ornithine transmembrane transporter activity"
"53","Biological Process","GO:0000067","obsolete DNA replication and chromosome cycle"
"54","Biological Process","GO:0000070","mitotic sister chromatid segregation"
"55","Biological Process","GO:0000072","obsolete M phase specific microtubule process"
"56","Biological Process","GO:0000073","initial mitotic spindle pole body separation"
"57","Biological Process","GO:0000075","cell cycle checkpoint signaling"
"58","Biological Process","GO:0000076","DNA replication checkpoint signaling"
"59","Biological Process","GO:0000077","DNA damage checkpoint signaling"
"60","Biological Process","GO:0000078","obsolete cytokinesis after mitosis checkpoint"
"61","Biological Process","GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity"
"62","Biological Process","GO:0000080","mitotic G1 phase"
"63","Biological Process","GO:0000082","G1/S transition of mitotic cell cycle"
"64","Biological Process","GO:0000083","regulation of transcription involved in G1/S transition of mitotic cell cycle"
"65","Biological Process","GO:0000084","mitotic S phase"
"66","Biological Process","GO:0000085","mitotic G2 phase"
"67","Biological Process","GO:0000086","G2/M transition of mitotic cell cycle"
"68","Biological Process","GO:0000087","mitotic M phase"
"69","Biological Process","GO:0000088","mitotic prophase"
"70","Biological Process","GO:0000089","mitotic metaphase"
"71","Biological Process","GO:0000090","mitotic anaphase"
"72","Biological Process","GO:0000091","mitotic anaphase A"
"73","Biological Process","GO:0000092","mitotic anaphase B"
"74","Biological Process","GO:0000093","mitotic telophase"
"75","Biological Process","GO:0000094","obsolete septin assembly and septum formation"
"76","Molecular Function","GO:0000095","S-adenosyl-L-methionine transmembrane transporter activity"
"77","Biological Process","GO:0000096","sulfur amino acid metabolic process"
"78","Biological Process","GO:0000097","sulfur amino acid biosynthetic process"
"79","Biological Process","GO:0000098","sulfur amino acid catabolic process"
"80","Molecular Function","GO:0000099","sulfur amino acid transmembrane transporter activity"
"81","Molecular Function","GO:0000100","S-methylmethionine transmembrane transporter activity"
"82","Biological Process","GO:0000101","sulfur amino acid transport"
"83","Molecular Function","GO:0000102","L-methionine secondary active transmembrane transporter activity"
"84","Biological Process","GO:0000103","sulfate assimilation"
"85","Molecular Function","GO:0000104","succinate dehydrogenase activity"
"86","Biological Process","GO:0000105","histidine biosynthetic process"
"87","Molecular Function","GO:0000107","imidazoleglycerol-phosphate synthase activity"
"88","Cellular Component","GO:0000108","obsolete repairosome"
"89","Cellular Component","GO:0000109","nucleotide-excision repair complex"
"90","Cellular Component","GO:0000110","nucleotide-excision repair factor 1 complex"
"91","Cellular Component","GO:0000111","nucleotide-excision repair factor 2 complex"
"92","Cellular Component","GO:0000112","nucleotide-excision repair factor 3 complex"
"93","Cellular Component","GO:0000113","nucleotide-excision repair factor 4 complex"
"94","Biological Process","GO:0000114","obsolete regulation of transcription involved in G1 phase of mitotic cell cycle"
"95","Biological Process","GO:0000115","obsolete regulation of transcription involved in S phase of mitotic cell cycle"
"96","Biological Process","GO:0000116","obsolete regulation of transcription involved in G2-phase of mitotic cell cycle"
"97","Biological Process","GO:0000117","regulation of transcription involved in G2/M transition of mitotic cell cycle"
"98","Cellular Component","GO:0000118","histone deacetylase complex"
"99","Cellular Component","GO:0000120","RNA polymerase I transcription regulator complex"
"100","Molecular Function","GO:0000121","glycerol-1-phosphatase activity"
"101","Biological Process","GO:0000122","negative regulation of transcription by RNA polymerase II"
"102","Cellular Component","GO:0000123","histone acetyltransferase complex"
"103","Cellular Component","GO:0000124","SAGA complex"
"104","Cellular Component","GO:0000126","transcription factor TFIIIB complex"
"105","Cellular Component","GO:0000127","transcription factor TFIIIC complex"
"106","Biological Process","GO:0000128","flocculation"
"107","Cellular Component","GO:0000131","incipient cellular bud site"
"108","Biological Process","GO:0000132","establishment of mitotic spindle orientation"
"109","Cellular Component","GO:0000133","polarisome"
"110","Cellular Component","GO:0000136","mannan polymerase complex"
"111","Cellular Component","GO:0000137","Golgi cis cisterna"
"112","Cellular Component","GO:0000138","Golgi trans cisterna"
"113","Cellular Component","GO:0000139","Golgi membrane"
"114","Molecular Function","GO:0000140","acylglycerone-phosphate reductase activity"
"115","Cellular Component","GO:0000142","cellular bud neck contractile ring"
"116","Cellular Component","GO:0000144","cellular bud neck septin ring"
"117","Cellular Component","GO:0000145","exocyst"
"118","Molecular Function","GO:0000146","microfilament motor activity"
"119","Biological Process","GO:0000147","actin cortical patch assembly"
"120","Cellular Component","GO:0000148","1,3-beta-D-glucan synthase complex"
"121","Molecular Function","GO:0000149","SNARE binding"
"122","Molecular Function","GO:0000150","DNA strand exchange activity"
"123","Cellular Component","GO:0000151","ubiquitin ligase complex"
"124","Cellular Component","GO:0000152","nuclear ubiquitin ligase complex"
"125","Cellular Component","GO:0000153","cytoplasmic ubiquitin ligase complex"
"126","Biological Process","GO:0000154","rRNA modification"
"127","Molecular Function","GO:0000155","phosphorelay sensor kinase activity"
"128","Molecular Function","GO:0000156","phosphorelay response regulator activity"
"129","Cellular Component","GO:0000159","protein phosphatase type 2A complex"
"130","Biological Process","GO:0000160","phosphorelay signal transduction system"
"131","Biological Process","GO:0000161","osmosensory signaling MAPK cascade"
"132","Biological Process","GO:0000162","tryptophan biosynthetic process"
"133","Cellular Component","GO:0000164","protein phosphatase type 1 complex"
"134","Biological Process","GO:0000165","MAPK cascade"
"135","Molecular Function","GO:0000166","nucleotide binding"
"136","Molecular Function","GO:0000170","sphingosine hydroxylase activity"
"137","Molecular Function","GO:0000171","ribonuclease MRP activity"
"138","Cellular Component","GO:0000172","ribonuclease MRP complex"
"139","Biological Process","GO:0000174","obsolete inactivation of MAPK (mating sensu Saccharomyces)"
"140","Molecular Function","GO:0000175","3-5-exoribonuclease activity"
"141","Cellular Component","GO:0000176","nuclear exosome (RNase complex)"
"142","Cellular Component","GO:0000177","cytoplasmic exosome (RNase complex)"
"143","Cellular Component","GO:0000178","exosome (RNase complex)"
"144","Molecular Function","GO:0000179","rRNA (adenine-N6,N6-)-dimethyltransferase activity"
"145","Cellular Component","GO:0000180","obsolete cytosolic large ribosomal subunit"
"146","Cellular Component","GO:0000181","obsolete cytosolic small ribosomal subunit"
"147","Molecular Function","GO:0000182","rDNA binding"
"148","Biological Process","GO:0000183","rDNA heterochromatin assembly"
"149","Biological Process","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"
"150","Biological Process","GO:0000185","obsolete activation of MAPKKK activity"
"151","Biological Process","GO:0000186","obsolete activation of MAPKK activity"
"152","Biological Process","GO:0000187","obsolete activation of MAPK activity"
"153","Biological Process","GO:0000188","obsolete inactivation of MAPK activity"
"154","Biological Process","GO:0000189","obsolete MAPK import into nucleus"
"155","Biological Process","GO:0000190","obsolete MAPKKK cascade (pseudohyphal growth)"
"156","Biological Process","GO:0000191","obsolete activation of MAPKKK (pseudohyphal growth)"
"157","Biological Process","GO:0000192","obsolete activation of MAPKK (pseudohyphal growth)"
"158","Biological Process","GO:0000193","obsolete activation of MAPK (pseudohyphal growth)"
"159","Biological Process","GO:0000194","obsolete inactivation of MAPK (pseudohyphal growth)"
"160","Biological Process","GO:0000195","obsolete nuclear translocation of MAPK (pseudohyphal growth)"
"161","Biological Process","GO:0000196","cell wall integrity MAPK cascade"
"162","Biological Process","GO:0000197","obsolete activation of MAPKKK activity involved in cell wall organization or biogenesis"
"163","Biological Process","GO:0000198","obsolete activation of MAPKK activity involved in cell wall organization or biogenesis"
"164","Biological Process","GO:0000199","obsolete activation of MAPK activity involved in cell wall organization or biogenesis"
