"","Gene_stable_ID","Comparison","logFC","PValue","Gene_name","Gene_description","Ensembl_Family_Description","Condition","Publication","Age_at_Sampling","Tissue"
"265","ENSAMXG00000004509","Pachon-Control",-10.74950086,0.000372018,"","","","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"266","ENSAMXG00000000127","Pachon-Control",-7.859841701,4.07e-06,"knstrn","small kinetochore-associated protein [Source:NCBI gene;Acc:103024931]","SMALL KINETOCHORE ASSOCIATED SKAP KINETOCHORE LOCALIZED ASTRIN BINDING KINASTRIN KINETOCHORE LOCALIZED ASTRIN/SPAG5 BINDING TRAF4 ASSOCIATED FACTOR 1","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"267","ENSAMXG00000028116","Pachon-Control",-5.683327095,3.09e-05,"","","","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"268","ENSAMXG00000016985","Pachon-Control",-5.621023559,3.59e-06,"","","COPINE 1 COPINE I","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"269","ENSAMXG00000019466","Pachon-Control",-5.448606568,0.000127334,"","","ENDONUCLEASE DOMAIN CONTAINING 1 PRECURSOR EC_3.1.30.-","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"270","ENSAMXG00000012225","Pachon-Control",-5.197412826,0.000112958,"cdhr1a","cadherin-related family member 1-like [Source:NCBI gene;Acc:103046055]","CADHERIN RELATED FAMILY MEMBER 1 PRECURSOR PHOTORECEPTOR CADHERIN PRCAD PROTOCADHERIN 21","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"271","ENSAMXG00000005252","Pachon-Control",-5.127522351,0.000211783,"plppr5a","phospholipid phosphatase related 5a [Source:ZFIN;Acc:ZDB-GENE-070705-281]","PHOSPHOLIPID PHOSPHATASE RELATED TYPE 5 EC_3.1.3.- LIPID PHOSPHATE PHOSPHATASE RELATED TYPE 5 PLASTICITY RELATED GENE 5 PRG 5","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"272","ENSAMXG00000016809","Pachon-Control",-4.9901365,9.2e-05,"","","GUANINE NUCLEOTIDE BINDING G T SUBUNIT ALPHA 2 TRANSDUCIN ALPHA 2 CHAIN","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"273","ENSAMXG00000004293","Pachon-Control",-4.775089406,0.000133566,"","","BUTYROPHILIN SUBFAMILY MEMBER","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"274","ENSAMXG00000024866","Pachon-Control",-2.606515894,5.21e-06,"","","HISTONE H4","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"275","ENSAMXG00000015950","Pachon-Control",-2.276368049,1.55e-05,"hoxb13a","homeobox B13 [Source:NCBI gene;Acc:103043948]","HOMEOBOX HOX B13","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"276","ENSAMXG00000017599","Pachon-Control",-2.115527213,3.07e-08,"ehf","ETS homologous factor [Source:NCBI gene;Acc:103047483]","ETS HOMOLOGOUS FACTOR ETS DOMAIN CONTAINING TRANSCRIPTION FACTOR","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"277","ENSAMXG00000015257","Pachon-Control",-2.064988658,0.000223217,"","","RHO RELATED GTP BINDING RHON PRECURSOR RHO FAMILY GTPASE 2 RHO RELATED GTP BINDING RHO7 RND2","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"278","ENSAMXG00000021577","Pachon-Control",-1.891273791,2.01e-05,"tnni2b.1","troponin I, fast skeletal muscle-like [Source:NCBI gene;Acc:103022042]","TROPONIN I MUSCLE TROPONIN I","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"279","ENSAMXG00000007483","Pachon-Control",-1.806517019,0.000134478,"chadlb","chondroadherin-like protein [Source:NCBI gene;Acc:103042228]","CHONDROADHERIN","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"280","ENSAMXG00000018794","Pachon-Control",-1.78339916,1.24e-06,"","DNA damage-inducible transcript 4-like protein [Source:NCBI gene;Acc:103031741]","REGULATED IN DEVELOPMENT AND DNA DAMAGE RESPONSE REDD","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"281","ENSAMXG00000004008","Pachon-Control",-1.688434538,2.19e-06,"TLCD1 (1 of many)","calfacilitin-like [Source:NCBI gene;Acc:103023685]","AMBIGUOUS","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"282","ENSAMXG00000014284","Pachon-Control",-1.661132069,1.35e-05,"zgc:113184","zgc:113184 [Source:ZFIN;Acc:ZDB-GENE-050522-9]","","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"283","ENSAMXG00000005694","Pachon-Control",-1.61879901,1.83e-06,"mkrn2os.1","MKRN2 opposite strand protein [Source:NCBI gene;Acc:103028772]","UNCHARACTERIZED","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"284","ENSAMXG00000006341","Pachon-Control",-1.587817035,9.67e-05,"","","GTPASE IMAP FAMILY MEMBER","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"285","ENSAMXG00000003145","Pachon-Control",-1.511788387,3.67e-07,"rbp3","retinol binding protein 3 [Source:NCBI gene;Acc:103039944]","RETINOL BINDING 3 PRECURSOR INTERPHOTORECEPTOR RETINOID BINDING IRBP INTERSTITIAL RETINOL BINDING","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"286","ENSAMXG00000012037","Pachon-Control",-1.474678465,0.000271467,"","","MICROFIBRIL ASSOCIATED GLYCOPROTEIN 4 PRECURSOR","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"287","ENSAMXG00000000399","Pachon-Control",-1.422428234,0.000114592,"","lysozyme g-like [Source:NCBI gene;Acc:103032479]","LYSOZYME G EC_3.2.1.17 1 4 BETA N ACETYLMURAMIDASE","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"288","ENSAMXG00000020168","Pachon-Control",-1.417247416,3.09e-07,"ccni2","cyclin I family, member 2 [Source:ZFIN;Acc:ZDB-GENE-081106-2]","CYCLIN I2","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"289","ENSAMXG00000008047","Pachon-Control",-1.378879929,4.71e-05,"card9","caspase recruitment domain family member 9 [Source:NCBI gene;Acc:103034770]","CASPASE RECRUITMENT DOMAIN CONTAINING 9","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"290","ENSAMXG00000000607","Pachon-Control",-1.372711668,0.000248188,"snx10b","sorting nexin 10b [Source:ZFIN;Acc:ZDB-GENE-070628-1]","SORTING NEXIN 10","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"291","ENSAMXG00000008156","Pachon-Control",-1.310533133,0.000383815,"and1","actinodin1 [Source:ZFIN;Acc:ZDB-GENE-030131-9105]","AMBIGUOUS","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"292","ENSAMXG00000011400","Pachon-Control",-1.285185012,0.000152361,"krcp","kelch repeat-containing protein [Source:ZFIN;Acc:ZDB-GENE-030131-2126]","UNCHARACTERIZED","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
