"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSAMXG00000000002",15.9931324675168,1.79086650358949,0.349616316838319,5.12237678088029,3.01708252159867e-07,6.7389208743191e-06
"ENSAMXG00000000004",45.6134773326843,0.0308331037533725,0.408868893089281,0.0754107350168109,0.939887918223499,0.974300208312559
"ENSAMXG00000000008",358.721489789688,0.289789872084593,0.192871664606799,1.50250101628655,0.132967765675553,0.333111582980904
"ENSAMXG00000000010",0.920249872498335,-1.08771870230273,1.69144965817515,-0.643068918454385,0.520179381442129,0.72531403839017
"ENSAMXG00000000017",83.6767479381145,-0.365878432357879,0.226083171500986,-1.61833554407779,0.105590304578218,0.288154249872581
"ENSAMXG00000000019",13.7086184467049,-0.481153061795914,0.581867174570964,-0.826912193750556,0.408286831517777,0.640445089681213
"ENSAMXG00000000023",353.652352014015,0.00251136502301112,0.196771002786547,0.0127628816616612,0.989816970225793,0.995127326698793
"ENSAMXG00000000024",81.5842527206052,-0.891985900942653,0.229090588446015,-3.89359469977899,9.87696191215818e-05,0.00122691946775777
"ENSAMXG00000000029",0.833386373916832,-0.00926126513787126,1.4069491103127,-0.00658251607679888,0.994747949979245,0.997483004702735
"ENSAMXG00000000032",5.22355440682203,-5.87867899648286,0.949202731178914,-6.19328074328391,5.89246371501482e-10,2.09658529835611e-08
"ENSAMXG00000000033",903.812576343266,0.307897428203463,0.211100108701752,1.45853751614344,0.144692442149833,0.350447887539612
"ENSAMXG00000000034",11.8380352747273,-0.0579522095486223,0.432666281019566,-0.133942052087025,0.893448397111388,0.952019129741014
"ENSAMXG00000000035",154.97739435362,1.51231449126945,0.221597925296094,6.8245877719691,8.81781488356174e-12,4.03561994504342e-10
"ENSAMXG00000000036",9.93141349654148,-1.28445878507112,0.67024621678599,-1.91639841136359,0.0553144028835594,0.187319168480395
"ENSAMXG00000000037",71.0923201694027,-0.794862260909793,0.380404738164361,-2.08951724614523,0.03666118714491,0.140880600781914
"ENSAMXG00000000039",68.5909778978696,-0.937588956912013,0.366085692523128,-2.56111882015924,0.0104335665419799,0.0561128748056113
"ENSAMXG00000000040",19.3090543781972,-0.021159965435223,0.336397924333305,-0.062901593335212,0.949844866061154,0.978304166390142
"ENSAMXG00000000041",8.08275437675933,0.0900612444112198,0.504648329898588,0.178463375533846,0.858359081533343,0.935994362161633
