GO_ID	Namespace
GO:0000001	Biological Process
GO:0000002	Biological Process
GO:0000003	Biological Process
GO:0000005	Molecular Function
GO:0000006	Molecular Function
GO:0000007	Molecular Function
GO:0000008	Molecular Function
GO:0000009	Molecular Function
GO:0000010	Molecular Function
GO:0000011	Biological Process
GO:0000012	Biological Process
GO:0000014	Molecular Function
GO:0000015	Cellular Component
GO:0000016	Molecular Function
GO:0000017	Biological Process
GO:0000018	Biological Process
GO:0000019	Biological Process
GO:0000020	Biological Process
GO:0000022	Biological Process
GO:0000023	Biological Process
GO:0000024	Biological Process
GO:0000025	Biological Process
GO:0000026	Molecular Function
GO:0000027	Biological Process
GO:0000028	Biological Process
GO:0000030	Molecular Function
GO:0000031	Molecular Function
GO:0000032	Biological Process
GO:0000033	Molecular Function
GO:0000034	Molecular Function
GO:0000035	Molecular Function
GO:0000036	Molecular Function
GO:0000038	Biological Process
GO:0000039	Molecular Function
GO:0000041	Biological Process
GO:0000044	Biological Process
GO:0000045	Biological Process
GO:0000047	Molecular Function
GO:0000048	Molecular Function
GO:0000049	Molecular Function
GO:0000050	Biological Process
GO:0000051	Biological Process
GO:0000052	Biological Process
GO:0000053	Biological Process
GO:0000054	Biological Process
GO:0000055	Biological Process
GO:0000056	Biological Process
GO:0000059	Biological Process
GO:0000060	Biological Process
GO:0000061	Biological Process
GO:0000062	Molecular Function
GO:0000064	Molecular Function
GO:0000067	Biological Process
GO:0000070	Biological Process
GO:0000072	Biological Process
GO:0000073	Biological Process
GO:0000075	Biological Process
GO:0000076	Biological Process
GO:0000077	Biological Process
GO:0000078	Biological Process
GO:0000079	Biological Process
GO:0000080	Biological Process
GO:0000082	Biological Process
GO:0000083	Biological Process
GO:0000084	Biological Process
GO:0000085	Biological Process
GO:0000086	Biological Process
GO:0000087	Biological Process
GO:0000088	Biological Process
GO:0000089	Biological Process
GO:0000090	Biological Process
GO:0000091	Biological Process
GO:0000092	Biological Process
GO:0000093	Biological Process
GO:0000094	Biological Process
GO:0000095	Molecular Function
GO:0000096	Biological Process
GO:0000097	Biological Process
GO:0000098	Biological Process
GO:0000099	Molecular Function
GO:0000100	Molecular Function
GO:0000101	Biological Process
GO:0000102	Molecular Function
GO:0000103	Biological Process
GO:0000104	Molecular Function
GO:0000105	Biological Process
GO:0000107	Molecular Function
GO:0000108	Cellular Component
GO:0000109	Cellular Component
GO:0000110	Cellular Component
GO:0000111	Cellular Component
GO:0000112	Cellular Component
GO:0000113	Cellular Component
GO:0000114	Biological Process
GO:0000115	Biological Process
GO:0000116	Biological Process
GO:0000117	Biological Process
GO:0000118	Cellular Component
GO:0000120	Cellular Component
GO:0000121	Molecular Function
GO:0000122	Biological Process
GO:0000123	Cellular Component
GO:0000124	Cellular Component
GO:0000126	Cellular Component
GO:0000127	Cellular Component
GO:0000128	Biological Process
GO:0000131	Cellular Component
GO:0000132	Biological Process
GO:0000133	Cellular Component
GO:0000136	Cellular Component
GO:0000137	Cellular Component
GO:0000138	Cellular Component
GO:0000139	Cellular Component
GO:0000140	Molecular Function
GO:0000142	Cellular Component
GO:0000144	Cellular Component
GO:0000145	Cellular Component
GO:0000146	Molecular Function
GO:0000147	Biological Process
GO:0000148	Cellular Component
GO:0000149	Molecular Function
GO:0000150	Molecular Function
GO:0000151	Cellular Component
GO:0000152	Cellular Component
GO:0000153	Cellular Component
GO:0000154	Biological Process
GO:0000155	Molecular Function
GO:0000156	Molecular Function
GO:0000159	Cellular Component
GO:0000160	Biological Process
GO:0000161	Biological Process
GO:0000162	Biological Process
GO:0000164	Cellular Component
GO:0000165	Biological Process
GO:0000166	Molecular Function
GO:0000170	Molecular Function
GO:0000171	Molecular Function
GO:0000172	Cellular Component
GO:0000174	Biological Process
GO:0000175	Molecular Function
GO:0000176	Cellular Component
GO:0000177	Cellular Component
GO:0000178	Cellular Component
GO:0000179	Molecular Function
GO:0000180	Cellular Component
GO:0000181	Cellular Component
GO:0000182	Molecular Function
GO:0000183	Biological Process
GO:0000184	Biological Process
GO:0000185	Biological Process
GO:0000186	Biological Process
GO:0000187	Biological Process
GO:0000188	Biological Process
GO:0000189	Biological Process
GO:0000190	Biological Process
GO:0000191	Biological Process
GO:0000192	Biological Process
GO:0000193	Biological Process
GO:0000194	Biological Process
GO:0000195	Biological Process
GO:0000196	Biological Process
GO:0000197	Biological Process
GO:0000198	Biological Process
GO:0000199	Biological Process
GO:0000200	Biological Process
GO:0000201	Biological Process
GO:0000202	Biological Process
GO:0000203	Biological Process
GO:0000204	Biological Process
GO:0000205	Biological Process
GO:0000206	Biological Process
GO:0000207	Biological Process
GO:0000208	Biological Process
GO:0000209	Biological Process
GO:0000210	Molecular Function
GO:0000211	Molecular Function
GO:0000212	Biological Process
GO:0000213	Molecular Function
GO:0000214	Cellular Component
GO:0000215	Molecular Function
GO:0000216	Biological Process
GO:0000217	Molecular Function
GO:0000219	Cellular Component
GO:0000220	Cellular Component
GO:0000221	Cellular Component
GO:0000222	Cellular Component
GO:0000223	Cellular Component
GO:0000224	Molecular Function
GO:0000225	Molecular Function
GO:0000226	Biological Process
GO:0000227	Molecular Function
GO:0000228	Cellular Component
GO:0000229	Cellular Component
GO:0000230	Cellular Component
GO:0000231	Cellular Component
GO:0000232	Cellular Component
GO:0000233	Cellular Component
GO:0000234	Molecular Function
GO:0000235	Cellular Component
GO:0000236	Biological Process
GO:0000237	Biological Process
GO:0000238	Biological Process
GO:0000239	Biological Process
GO:0000240	Biological Process
GO:0000241	Biological Process
GO:0000242	Cellular Component
GO:0000243	Cellular Component
GO:0000244	Biological Process
GO:0000245	Biological Process
GO:0000246	Molecular Function
GO:0000247	Molecular Function
GO:0000248	Molecular Function
GO:0000249	Molecular Function
GO:0000250	Molecular Function
GO:0000252	Molecular Function
GO:0000253	Molecular Function
GO:0000254	Molecular Function
GO:0000255	Biological Process
GO:0000256	Biological Process
GO:0000257	Molecular Function
GO:0000258	Molecular Function
GO:0000259	Molecular Function
GO:0000260	Molecular Function
GO:0000261	Molecular Function
GO:0000262	Cellular Component
GO:0000263	Molecular Function
GO:0000264	Molecular Function
GO:0000265	Molecular Function
GO:0000266	Biological Process
GO:0000267	Cellular Component
GO:0000268	Molecular Function
GO:0000269	Molecular Function
GO:0000270	Biological Process
GO:0000271	Biological Process
GO:0000272	Biological Process
GO:0000274	Cellular Component
GO:0000275	Cellular Component
GO:0000276	Cellular Component
GO:0000277	Molecular Function
GO:0000278	Biological Process
GO:0000279	Biological Process
GO:0000280	Biological Process
GO:0000281	Biological Process
GO:0000282	Biological Process
GO:0000284	Biological Process
GO:0000285	Molecular Function
GO:0000286	Molecular Function
GO:0000287	Molecular Function
GO:0000288	Biological Process
GO:0000289	Biological Process
GO:0000290	Biological Process
GO:0000291	Biological Process
GO:0000292	Biological Process
GO:0000293	Molecular Function
GO:0000294	Biological Process
GO:0000295	Molecular Function
GO:0000296	Biological Process
GO:0000297	Molecular Function
GO:0000298	Molecular Function
GO:0000299	Cellular Component
GO:0000300	Cellular Component
GO:0000301	Biological Process
GO:0000302	Biological Process
GO:0000303	Biological Process
GO:0000304	Biological Process
GO:0000305	Biological Process
