"Entry","Status","Gene.names","Organism","Gene.ontology..biological.process.","Gene.ontology..cellular.component.","Gene.ontology..molecular.function.","Gene.ontology.IDs"
"A0A3B1JVE8","unreviewed","qrfpr","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","G protein-coupled receptor activity [GO:0004930]","GO:0004930; GO:0016021"
"A0A3B1JZT4","unreviewed","spdef","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","nucleus [GO:0005634]","DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]","GO:0003700; GO:0005634; GO:0043565"
"A0A3B1KGH7","unreviewed","chst8","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","carbohydrate biosynthetic process [GO:0016051]","Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]","sulfotransferase activity [GO:0008146]","GO:0000139; GO:0008146; GO:0016021; GO:0016051"
"A0A3B1J4M0","unreviewed","trim50","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","zinc ion binding [GO:0008270]","GO:0008270"
"A0A3B1JDE4","unreviewed","adora2a","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]","G protein-coupled adenosine receptor activity [GO:0001609]","GO:0001609; GO:0005886; GO:0016021"
"A0A3B1KHU5","unreviewed","ctnna2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","brain morphogenesis [GO:0048854]; cell adhesion [GO:0007155]; cell differentiation [GO:0030154]","actin cytoskeleton [GO:0015629]; adherens junction [GO:0005912]; axon [GO:0030424]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; plasma membrane [GO:0005886]","actin filament binding [GO:0051015]; cadherin binding [GO:0045296]; structural molecule activity [GO:0005198]","GO:0005198; GO:0005634; GO:0005737; GO:0005886; GO:0005912; GO:0007155; GO:0015629; GO:0030154; GO:0030424; GO:0045296; GO:0048854; GO:0051015"
"W5K7F3","unreviewed","cdk18","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]","GO:0004674; GO:0005524"
"W5LDJ6","unreviewed","htr1f","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of plasma membrane [GO:0005887]","G protein-coupled serotonin receptor activity [GO:0004993]","GO:0004993; GO:0005887"
"A0A3B1J536","unreviewed","lhfpl1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","","GO:0016021"
"A0A3B1KI90","unreviewed","coq2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","isoprenoid biosynthetic process [GO:0008299]; ubiquinone biosynthetic process [GO:0006744]","integral component of mitochondrial inner membrane [GO:0031305]","4-hydroxybenzoate decaprenyltransferase activity [GO:0002083]; 4-hydroxybenzoate nonaprenyltransferase activity [GO:0047293]","GO:0002083; GO:0006744; GO:0008299; GO:0031305; GO:0047293"
"A0A3B1IPL5","unreviewed","tmc6","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of plasma membrane [GO:0005887]","","GO:0005887"
"W5K562","unreviewed","g6pd","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","glucose metabolic process [GO:0006006]; pentose-phosphate shunt [GO:0006098]","","glucose-6-phosphate dehydrogenase activity [GO:0004345]; NADP binding [GO:0050661]","GO:0004345; GO:0006006; GO:0006098; GO:0050661"
"A0A3B1KEE2","unreviewed","mcoln3","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","endosome membrane [GO:0010008]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]","cation channel activity [GO:0005261]","GO:0005261; GO:0005886; GO:0010008; GO:0016021"
"A0A3B1J8Q9","unreviewed","rpsa","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]","cytosolic small ribosomal subunit [GO:0022627]; nucleus [GO:0005634]; plasma membrane [GO:0005886]","laminin binding [GO:0043236]; laminin receptor activity [GO:0005055]; structural constituent of ribosome [GO:0003735]","GO:0000028; GO:0003735; GO:0005055; GO:0005634; GO:0005886; GO:0006412; GO:0022627; GO:0043236"
"W5L060","unreviewed","r3hdm1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","nucleic acid binding [GO:0003676]","GO:0003676"
"A0A3B1IKV7","unreviewed","klf15","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"A0A3B1JR18","unreviewed","snrpe","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","spliceosomal snRNP assembly [GO:0000387]","spliceosomal complex [GO:0005681]; U1 snRNP [GO:0005685]; U2 snRNP [GO:0005686]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U4 snRNP [GO:0005687]; U5 snRNP [GO:0005682]","RNA binding [GO:0003723]","GO:0000387; GO:0003723; GO:0005681; GO:0005682; GO:0005685; GO:0005686; GO:0005687; GO:0046540"
"W5L5P4","unreviewed","cdin1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"O42293","unreviewed","pax-6","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","anterior/posterior pattern specification [GO:0009952]; habenula development [GO:0021986]; hindbrain development [GO:0030902]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of transcription by RNA polymerase II [GO:0045944]; retinal cone cell differentiation [GO:0042670]; retinal rod cell differentiation [GO:0060221]","nucleus [GO:0005634]","DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; sequence-specific DNA binding [GO:0043565]","GO:0000981; GO:0005634; GO:0008284; GO:0009952; GO:0021986; GO:0030902; GO:0042670; GO:0043565; GO:0045944; GO:0060221"
"W5LP16","unreviewed","eif3c eif3s8","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","formation of cytoplasmic translation initiation complex [GO:0001732]","eukaryotic 43S preinitiation complex [GO:0016282]; eukaryotic 48S preinitiation complex [GO:0033290]; eukaryotic translation initiation factor 3 complex [GO:0005852]","translation initiation factor activity [GO:0003743]; translation initiation factor binding [GO:0031369]","GO:0001732; GO:0003743; GO:0005852; GO:0016282; GO:0031369; GO:0033290"
"W5L4W5","unreviewed","csnk1g1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","Wnt signaling pathway [GO:0016055]","","ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]","GO:0005524; GO:0016055; GO:0106310; GO:0106311"
"W5L1K5","unreviewed","tgds","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","nucleotide-sugar metabolic process [GO:0009225]","integral component of membrane [GO:0016021]","dTDP-glucose 4,6-dehydratase activity [GO:0008460]","GO:0008460; GO:0009225; GO:0016021"
"A0A3B1KEW1","unreviewed","pde6g","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","visual perception [GO:0007601]","","3',5'-cyclic-GMP phosphodiesterase activity [GO:0047555]; cGMP binding [GO:0030553]","GO:0007601; GO:0030553; GO:0047555"
"W5LJ32","unreviewed","dbt","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","mitochondrial matrix [GO:0005759]","transferase activity, transferring acyl groups [GO:0016746]","GO:0005759; GO:0016746"
"A0A3B1IZQ4","unreviewed","csrnp3","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","nucleus [GO:0005634]","","GO:0005634"
"A0A3B1JT68","unreviewed","c19orf12","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; mitochondrial membrane [GO:0031966]","","GO:0005783; GO:0005829; GO:0016021; GO:0031966"
"W5LQF3","unreviewed","rasa2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","intracellular signal transduction [GO:0035556]; positive regulation of GTPase activity [GO:0043547]","","GTPase activator activity [GO:0005096]; metal ion binding [GO:0046872]","GO:0005096; GO:0035556; GO:0043547; GO:0046872"
