Stable_Gene_ID,Gene_Name,Gene_Description,GO_Terms,Pi_Tinaja,Pi_RioChoy,Pi_Molino,Pi_Pachon,Pi_Rascon,Dxy_RioChoy.Molino,,Dxy_Rascon.Pachon,Dxy_Rascon.Tinaja,Fst_Rascon.Tinaja,Fst_Pachon.Rascon,Fst_RioChoy.Molino,Fst_RioChoy.Pachon,Fst_RioChoy.Tinaja,Dxy_RioChoy.Pachon,Dxy_RioChoy.Tinaja,TajimasD_Molino,TajimasD_RioChoy,TajimasD_Pachon,TajimasD_Tinaja,TajimasD_Rascon
ENSAMXG00000038682,,,,,,,,,,,0.01277486,0.01460831,,,,,,,,,,,,
ENSAMXG00000032549,tmem44,transmembrane protein 44 [Source:NCBI gene;Acc:1329622],,,,,,,,,0.00130628,0.00127934,,,,,,,,,,,,
ENSAMXG00000042140,,,,,,,,,,,0.00606971,0.00423662,,,,,,,,,,,,
ENSAMXG00000033978, ,uncharacterized LOC111194264 [Source:NCBI gene;Acc:111194264],,,,,,,,,0.0070295,0.00732562,,,,,,,,,,,,
ENSAMXG00000040864,mpdu1b,mannose-P-dolichol utilization defect 1 [Source:NCBI gene;Acc:13454],,,,,,,,,0,0,,,,,,,,,,,,
ENSAMXG00000020266,,,,,,,,,,,0.00396795,0.00429614,,,,,,,,,,,,
ENSAMXG00000030828,,,,,,,,,,,0.00942576,0.0108752,,,,,,,,,,,,
ENSAMXG00000006799,,,,,,,,,,,0.02013206,0.02262628,,,,,,,,,,,,
ENSAMXG00000038261,,uncharacterized LOC111189635 [Source:NCBI gene;Acc:111189635],,,,,,,,,0.02092892,0.02113712,,,,,,,,,,,,
ENSAMXG00000042282,,,,,,,,,,,0.0034234,0.00323928,,,,,,,,,,,,
ENSAMXG00000018913,,cytochrome P45 2K1-like [Source:NCBI gene;Acc:133428],,,,,,,,,0.01054133,0.010887,,,,,,,,,,,,
ENSAMXG00000031153, ,,,,,,,,,,0.01320685,0.01366877,,,,,,,,,,,,
ENSAMXG00000033628,,,,,,,,,,,0.00334169,0.003253,,,,,,,,,,,,
ENSAMXG00000032294,si:ch211-284e20.8,si:ch211-284e2.8 [Source:ZFIN;Acc:ZDB-GENE-528-451],,,,,,,,,0.00179392,0.00223214,,,,,,,,,,,,
ENSAMXG00000030621, ,antihemorrhagic factor cHLP-B-like [Source:NCBI gene;Acc:1326828],,,,,,,,,0.00341633,0.00622177,,,,,,,,,,,,
ENSAMXG00000033696,,,,,,,,,,,0.00262377,0.0075948,,,,,,,,,,,,
ENSAMXG00000041985, ,trace amine-associated receptor 1-like [Source:NCBI gene;Acc:111196312],,,,,,,,,0.00385406,0.00331449,,,,,,,,,,,,
ENSAMXG00000030559,mrm3a,mitochondrial rRNA methyltransferase 3 [Source:NCBI gene;Acc:133227],,,,,,,,,0.00344753,0.00193924,,,,,,,,,,,,
ENSAMXG00000025533,lrrc3,leucine rich repeat containing 3 [Source:NCBI gene;Acc:11372],,,,,,,,,0.00169737,0.00026802,,,,,,,,,,,,
ENSAMXG00000018938, ,interferon-inducible GTPase 5-like [Source:NCBI gene;Acc:111193834],,,,,,,,,0.00439298,0.0037702,,,,,,,,,,,,
ENSAMXG00000003832,,,,,,,,,,,0.00284566,0.00525794,,,,,,,,,,,,
ENSAMXG00000004619,,epoxide hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:341],,,,,,,,,0.00359466,0.00446239,,,,,,,,,,,,
ENSAMXG00000029592, ,,,,,,,,,,0.00816664,0.01521698,,,,,,,,,,,,
ENSAMXG00000024931,si:ch211-197k17.3,si:ch211-197k17.3 [Source:ZFIN;Acc:ZDB-GENE-11914-193],,,,,,,,,0.0039446,0.0091737,,,,,,,,,,,,
ENSAMXG00000040947, ,,,,,,,,,,0.00350761,0.00328687,,,,,,,,,,,,
ENSAMXG00000030376,zgc:172079,zgc:17279 [Source:ZFIN;Acc:ZDB-GENE-824-13],,,,,,,,,0.00208191,0.00225139,,,,,,,,,,,,
ENSAMXG00000010812,,,,,,,,,,,0.00848253,0.0081874,,,,,,,,,,,,
ENSAMXG00000043684,,,,,,,,,,,0.00976421,0.01017791,,,,,,,,,,,,
ENSAMXG00000032867,,,,,,,,,,,0.00475245,0.00594577,,,,,,,,,,,,
ENSAMXG00000007068,podn,podocan [Source:ZFIN;Acc:ZDB-GENE-1922-117],,,,,,,,,0.00352197,0.00476859,,,,,,,,,,,,
ENSAMXG00000033649, ,,,,,,,,,,0.01279582,0.00733429,,,,,,,,,,,,
ENSAMXG00000030286,agpat2,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha-like [Source:NCBI gene;Acc:111193896],,,,,,,,,0.00600386,0.00583601,,,,,,,,,,,,
ENSAMXG00000002081,,hemicentin-1-like [Source:NCBI gene;Acc:132923],,,,,,,,,0.00642538,0.00706579,,,,,,,,,,,,
ENSAMXG00000035161, ,,,,,,,,,,0.0191494,0.01219261,,,,,,,,,,,,
ENSAMXG00000020358,,,,,,,,,,,0.00691347,0.01303683,,,,,,,,,,,,
ENSAMXG00000031534, ,,,,,,,,,,0.00053419,0.01875,,,,,,,,,,,,
ENSAMXG00000038661, ,,,,,,,,,,0.00418271,0.00574371,,,,,,,,,,,,
ENSAMXG00000032602, ,,,,,,,,,,0.00912475,0.00868585,,,,,,,,,,,,
