"Scaffold","Start_Locus","End_Locus","Gene_ID","Gene_Name"
"3",34647820,34676122,"ENSAMXG00000018057","esco2"
"3",34663927,34669232,"ENSAMXG00000040018","ccdc25"
"3",34676143,34680481,"ENSAMXG00000018034","pbk"
"3",34685833,34693041,"ENSAMXG00000018025","SLC35D3"
"3",34696414,34739618,"ENSAMXG00000038326","pex7"
"3",34743501,34751717,"ENSAMXG00000039048","hey2"
"3",34807135,34821690,"ENSAMXG00000018001","hddc2"
"3",34820756,34862073,"ENSAMXG00000017992","tpd52l1"
"3",12526447,12529953,"ENSAMXG00000026077","ensembl"
"3",12566087,12595374,"ENSAMXG00000001938","myo1ca"
"3",58058731,58076652,"ENSAMXG00000006818","ubr7"
"3",34880896,34906947,"ENSAMXG00000038750","rnf217"
"3",58078516,58080008,"ENSAMXG00000038596","si:dkeyp-55f12.3"
"3",58083042,58088005,"ENSAMXG00000025962","tmem251"
"3",34925281,35186887,"ENSAMXG00000032970","nkain2"
"3",58086060,58134888,"ENSAMXG00000006699","itpk1a"
"3",35230865,35247340,"ENSAMXG00000034208","ensembl"
"3",58092389,58094771,"ENSAMXG00000040219","ensembl"
"3",58137147,58150155,"ENSAMXG00000042675","chga"
"3",35315552,35364479,"ENSAMXG00000017974","CLVS2"
"3",58160341,58174725,"ENSAMXG00000006569","si:dkey-177p2.18"
"3",12604776,12611212,"ENSAMXG00000030473","ensembl"
"3",35376512,35391300,"ENSAMXG00000038976","smpdl3a"
"3",35388987,35395787,"ENSAMXG00000032251","ensembl"
"3",35394086,35439519,"ENSAMXG00000030623","pkib"
"3",35448499,35464140,"ENSAMXG00000039252","serinc1"
"3",58172427,58191784,"ENSAMXG00000006409","sel1l"
"3",12632510,12636715,"ENSAMXG00000030171","epd"
"3",12636749,12650249,"ENSAMXG00000001897","panx1b"
"3",58192402,58198372,"ENSAMXG00000006322","ahsa1a"
"3",35458426,35473506,"ENSAMXG00000031974","hsf2"
"3",12651019,12659551,"ENSAMXG00000043570","ensembl"
"3",35638583,35674241,"ENSAMXG00000029445","si:ch73-92i20.1"
"3",12765386,12772697,"ENSAMXG00000040082","ensembl"
"3",58209454,58222583,"ENSAMXG00000031208","si:dkey-177p2.6"
"3",35691824,35746993,"ENSAMXG00000041848","arhgef9a"
"3",58224552,58231160,"ENSAMXG00000034912","cdca4"
"3",58247341,58251959,"ENSAMXG00000035965","ensembl"
"3",58263827,58274678,"ENSAMXG00000040014","serpinb1l2"
"3",58282254,58319797,"ENSAMXG00000030042","mylk4b"
"3",12774767,12780519,"ENSAMXG00000002249","ensembl"
"3",58321161,58384972,"ENSAMXG00000006177","gmds"
"3",35767388,35773383,"ENSAMXG00000035962","amer1"
"3",35774106,35778118,"ENSAMXG00000011264","asb12a"
"3",35779869,35796696,"ENSAMXG00000042036","mtmr8"
"3",58390489,58393678,"ENSAMXG00000014760","foxc1b"
"3",58407330,58410787,"ENSAMXG00000031968","foxf2b"
"3",58414082,58422398,"ENSAMXG00000032901","ensembl"
"3",35807407,35810125,"ENSAMXG00000011301","shisa2a"
"3",35812278,35820217,"ENSAMXG00000043510","zc4h2"
"3",35823655,35849896,"ENSAMXG00000011328","zc3h12b"
"3",35859271,35874591,"ENSAMXG00000011342","las1l"
"3",58460525,58480541,"ENSAMXG00000006131","exoc2"
"3",35877137,35920824,"ENSAMXG00000011348","msna"
"3",35933516,35937092,"ENSAMXG00000034252","ensembl"
"3",35941993,35964333,"ENSAMXG00000011359","ensembl"
"3",36067678,36087103,"ENSAMXG00000011380","arhgap20b"
"3",36115997,36144223,"ENSAMXG00000040888","si:dkey-27p18.2"
"3",36190714,36207781,"ENSAMXG00000041491","ensembl"
"3",36253595,36457039,"ENSAMXG00000011395","ar"
"3",36502535,36600326,"ENSAMXG00000011407","ophn1"
"3",58485543,58495762,"ENSAMXG00000006093","irf4b"
