Stable_Gene_ID,Gene_Name,Gene_Description,GO_Terms,Pi_Tinaja,Pi_RioChoy,Pi_Molino,Pi_Pachon,Pi_Rascon,Dxy_RioChoy:Molino,Dxy_Rascon:Pachon,Dxy_Rascon:Tinaja,Fst_Rascon:Tinaja,Fst_Pachon:Rascon,Fst_RioChoy:Molino,Fst_RioChoy:Pachon,Fst_RioChoy:Tinaja,Dxy_RioChoy:Pachon,Dxy_RioChoy:Tinaja,TajimasD_Molino,TajimasD_RioChoy,TajimasD_Pachon,TajimasD_Tinaja,TajimasD_Rascon,Fst_Rascon:Molino,Dxy_Rascon:Molino,Dxy_Pachon:Molino,Fst_Pachon:Molino,Dxy_Tinaja:Molino,Fst_Tinaja:Molino,Dxy_Tinaja:Pachon,Fst_Tinaja:Pachon,Fst_Outliers
ENSAMXG00000012929,ncs1a,neuronal calcium sensor 1a [Source:ZFIN;Acc:ZDB-GENE-021220-1],calcium ion binding;metal ion binding;semicircular canal morphogenesis;semicircular canal development,0,0.000717219,0,0,0.000325521,0.000393314,0.001790365,0.001790365,0.932007,0.932007,0.125,0.07077697,0.07077697,0.000393314,0.000393314,NA,NA,NA,NA,NA,0.927448,0.001790365,0,NA,0,NA,0,NA,Rascon-Pachon;Rascon-Tinaja; Molino-Rascon
ENSAMXG00000019210,eif5,eukaryotic translation initiation factor 5 [Source:ZFIN;Acc:ZDB-GENE-030131-975],binding;protein binding;translational initiation;translation initiation factor activity,0,0.000982269,0,0,0.000490114,0.000660833,0.000539125,0.000539125,0.643875,0.643875,0.203073333,0.237456,0.209113333,0.000456121,0.000660833,NA,NA,NA,NA,NA,0.628248,0.000539125,0,NA,0,NA,0,NA,Rascon-Pachon;Rascon-Tinaja
ENSAMXG00000021128,tmem209,transmembrane protein 209 [Source:ZFIN;Acc:ZDB-GENE-030131-2879],integral component of membrane;membrane,0.000241546,0.001247198,0,0,0.000402577,0.001207729,0.002214171,0.002168881,0.875418,0.932007,0.268402833,0.241397963,0.241397963,0.001207729,0.001328502,NA,NA,NA,NA,NA,0.927448,0.002214171,0,NA,0.000120773,NA,0.000120773,0,Rascon-Pachon;Rascon-Tinaja; Molino-Rascon
ENSAMXG00000017713,mdkb,midkine b [Source:ZFIN;Acc:ZDB-GENE-010131-6],growth factor activity;brain development;positive regulation of neuron differentiation;extracellular region;neural crest formation;response to bacterium;muscle structure development;retinal pigment epithelium development,0,0.001506678,0,0,0.0006825,0.000822251,0.001876877,0.001876877,0.862043,0.862043,0.05351835,0.047859447,0.046921313,0.000822251,0.000822251,NA,NA,NA,NA,NA,0.853529,0.001876877,0,NA,0,NA,0,NA,Rascon-Pachon;Rascon-Tinaja; Molino-Rascon
ENSAMXG00000000972,cnot2,"CCR4-NOT transcription complex, subunit 2 [Source:ZFIN;Acc:ZDB-GENE-070410-70]","nucleus;regulation of transcription, DNA-templated",0,0.000415047,0,0,0.000758062,0.002173758,0.000427625,0.000427625,0.138675125,0.143361175,0.80625,0.54201898,0.54201898,0.002173758,0.002173758,NA,NA,NA,NA,NA,0.12867825,0.000427625,0,NA,0,NA,0,NA,RioChoy-Molino
ENSAMXG00000017906,usp3,ubiquitin specific peptidase 3 [Source:ZFIN;Acc:ZDB-GENE-030131-5142],cysteine-type peptidase activity;ubiquitinyl hydrolase activity;protein deubiquitination;ubiquitin-dependent protein catabolic process;hydrolase activity;peptidase activity;proteolysis;metal ion binding;zinc ion binding,0.0000647,0.000506713,0,0,0.000642101,0.000261812,0.000911369,0.000894281,0.651548,0.699569,0.048086167,0.036344056,0.036344056,0.000261812,0.000294154,NA,NA,NA,NA,NA,0.6838975,0.000911369,0,NA,0.0000323,NA,0.0000323,0,Rascon-Pachon;Rascon-Tinaja; almost Molino-Rascon
ENSAMXG00000017624,ldlrad3,low density lipoprotein receptor class A domain containing 3 [Source:ZFIN;Acc:ZDB-GENE-030131-1533],protein binding;cell fate commitment;endocrine pancreas development;pancreatic A cell differentiation;type B pancreatic cell differentiation;spinal cord motor neuron differentiation,0,0.000629629,0,0,0.00080808,0.000314815,0.002222222,0.002222222,0.850746,0.850746,0.00784133,0.01051327,0.01051327,0.000314815,0.000314815,NA,NA,NA,NA,NA,0.840708,0.002222222,0,NA,0,NA,0,NA,Rascon-Pachon;Rascon-Tinaja; Molino-Rascon
ENSAMXG00000003856,NA,NA,hormone activity;extracellular region,0,0.002759376,0,0,0.00093187,0.001595345,0.001708428,0.001708428,0.790343,0.790343,0.1026425,0.116202525,0.116202525,0.001595345,0.001595345,NA,NA,NA,NA,NA,0.765372,0.001708428,0,NA,0,NA,0,NA,Rascon-Pachon;Rascon-Tinaja; Molino-Rascon
ENSAMXG00000016445,si:dkeyp-84f3.5,si:dkeyp-84f3.5 [Source:ZFIN;Acc:ZDB-GENE-050208-162],nucleic acid binding;metal ion binding;endodermal cell differentiation,0,0.000420441,0,0.0000975,0.000782681,0.000974659,0.000454841,0.000406108,0.0756077,0.0756077,0.882812,0.277988293,0.300349293,0.000936755,0.000974659,NA,NA,NA,NA,NA,0.064800575,0.000406108,0.0000487,NA,0,NA,0.0000487,0,RioChoy-Molino
ENSAMXG00000000216,ptpn2a,"protein tyrosine phosphatase, non-receptor type 2, a [Source:ZFIN;Acc:ZDB-GENE-040426-1196]",peptidyl-tyrosine dephosphorylation;phosphatase activity;protein tyrosine phosphatase activity;dephosphorylation;protein dephosphorylation;phosphoprotein phosphatase activity;hydrolase activity;integral component of membrane;membrane,0.000161943,0.002083696,0,0,0.000470391,0.00272717,0.002178649,0.002178649,0.881177,0.903151667,0.402460143,0.292082422,0.280712662,0.00272717,0.002790148,NA,NA,NA,NA,NA,0.897161,0.002178649,0,NA,0.000081,NA,0.000081,0,Rascon-Pachon;Rascon-Tinaja; Molino-Rascon
ENSAMXG00000008926,minal,MYC induced nuclear antigen-like [Source:ZFIN;Acc:ZDB-GENE-040426-1283],NA,0,0.00030303,0,0,0.000427775,0.001060606,0.000227687,0.000227687,0.1047038,0.09981105,1,0.337460627,0.337460627,0.001060606,0.001060606,NA,NA,NA,NA,NA,0.09287505,0.000227687,0,NA,0,NA,0,NA,RioChoy-Molino
ENSAMXG00000003788,tnfsf13b,"tumor necrosis factor (ligand) superfamily, member 13b [Source:ZFIN;Acc:ZDB-GENE-080204-44]",protein binding;immune response;tumor necrosis factor receptor binding;membrane,0,0.000607801,0,0,0.00135109,0.000353857,0.0014862,0.0014862,0.626355,0.626355,0.125,0.07364747,0.07364747,0.000353857,0.000353857,NA,NA,NA,NA,NA,0.608748,0.0014862,0,NA,0,NA,0,NA,Rascon-Tinaja
ENSAMXG00000010346,nova2,neuro-oncological ventral antigen 2 [Source:ZFIN;Acc:ZDB-GENE-080211-1],RNA binding;nucleic acid binding,0,0.000852705,0,0,0.000319739,0.001868042,0.000170184,0.000170184,0.1047038,0.1047038,0.64142375,0.525954788,0.526577788,0.001868042,0.001868042,NA,NA,NA,NA,NA,0.0800837,0.000170184,0,NA,0,NA,0,NA,RioChoy-Molino
