Gene_stable_ID,Comparison,logFC,PValue,Gene_name,Gene_description,Ensembl_Family_Description,Condition,Publication,Age_at_Sampling,Tissue
ENSAMXG00000004509,Pachon-Control,-10.74950086,0.000372018,,,,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000000127,Pachon-Control,-7.859841701,4.07E-06,knstrn,small kinetochore-associated protein [Source:NCBI gene;Acc:103024931],SMALL KINETOCHORE ASSOCIATED SKAP KINETOCHORE LOCALIZED ASTRIN BINDING KINASTRIN KINETOCHORE LOCALIZED ASTRIN/SPAG5 BINDING TRAF4 ASSOCIATED FACTOR 1,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000028116,Pachon-Control,-5.683327095,3.09E-05,,,,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016985,Pachon-Control,-5.621023559,3.59E-06,,,COPINE 1 COPINE I,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000019466,Pachon-Control,-5.448606568,0.000127334,,,ENDONUCLEASE DOMAIN CONTAINING 1 PRECURSOR EC_3.1.30.-,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000012225,Pachon-Control,-5.197412826,0.000112958,cdhr1a,cadherin-related family member 1-like [Source:NCBI gene;Acc:103046055],CADHERIN RELATED FAMILY MEMBER 1 PRECURSOR PHOTORECEPTOR CADHERIN PRCAD PROTOCADHERIN 21,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000005252,Pachon-Control,-5.127522351,0.000211783,plppr5a,phospholipid phosphatase related 5a [Source:ZFIN;Acc:ZDB-GENE-070705-281],PHOSPHOLIPID PHOSPHATASE RELATED TYPE 5 EC_3.1.3.- LIPID PHOSPHATE PHOSPHATASE RELATED TYPE 5 PLASTICITY RELATED GENE 5 PRG 5,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016809,Pachon-Control,-4.9901365,9.20E-05,,,GUANINE NUCLEOTIDE BINDING G T SUBUNIT ALPHA 2 TRANSDUCIN ALPHA 2 CHAIN,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000004293,Pachon-Control,-4.775089406,0.000133566,,,BUTYROPHILIN SUBFAMILY MEMBER,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000024866,Pachon-Control,-2.606515894,5.21E-06,,,HISTONE H4,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000015950,Pachon-Control,-2.276368049,1.55E-05,hoxb13a,homeobox B13 [Source:NCBI gene;Acc:103043948],HOMEOBOX HOX B13,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000017599,Pachon-Control,-2.115527213,3.07E-08,ehf,ETS homologous factor [Source:NCBI gene;Acc:103047483],ETS HOMOLOGOUS FACTOR ETS DOMAIN CONTAINING TRANSCRIPTION FACTOR,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000015257,Pachon-Control,-2.064988658,0.000223217,,,RHO RELATED GTP BINDING RHON PRECURSOR RHO FAMILY GTPASE 2 RHO RELATED GTP BINDING RHO7 RND2,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000021577,Pachon-Control,-1.891273791,2.01E-05,tnni2b.1,"troponin I, fast skeletal muscle-like [Source:NCBI gene;Acc:103022042]",TROPONIN I MUSCLE TROPONIN I,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000007483,Pachon-Control,-1.806517019,0.000134478,chadlb,chondroadherin-like protein [Source:NCBI gene;Acc:103042228],CHONDROADHERIN,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000018794,Pachon-Control,-1.78339916,1.24E-06,,DNA damage-inducible transcript 4-like protein [Source:NCBI gene;Acc:103031741],REGULATED IN DEVELOPMENT AND DNA DAMAGE RESPONSE REDD,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000004008,Pachon-Control,-1.688434538,2.19E-06,TLCD1 (1 of many),calfacilitin-like [Source:NCBI gene;Acc:103023685],AMBIGUOUS,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000014284,Pachon-Control,-1.661132069,1.35E-05,zgc:113184,zgc:113184 [Source:ZFIN;Acc:ZDB-GENE-050522-9],,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000005694,Pachon-Control,-1.61879901,1.83E-06,mkrn2os.1,MKRN2 opposite strand protein [Source:NCBI gene;Acc:103028772],UNCHARACTERIZED,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000006341,Pachon-Control,-1.587817035,9.67E-05,,,GTPASE IMAP FAMILY MEMBER,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000003145,Pachon-Control,-1.511788387,3.67E-07,rbp3,retinol binding protein 3 [Source:NCBI gene;Acc:103039944],RETINOL BINDING 3 PRECURSOR INTERPHOTORECEPTOR RETINOID BINDING IRBP INTERSTITIAL RETINOL BINDING,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000012037,Pachon-Control,-1.474678465,0.000271467,,,MICROFIBRIL ASSOCIATED GLYCOPROTEIN 4 PRECURSOR,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000000399,Pachon-Control,-1.422428234,0.000114592,,lysozyme g-like [Source:NCBI gene;Acc:103032479],LYSOZYME G EC_3.2.1.17 1 4 BETA N ACETYLMURAMIDASE,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000020168,Pachon-Control,-1.417247416,3.09E-07,ccni2,"cyclin I family, member 2 [Source:ZFIN;Acc:ZDB-GENE-081106-2]",CYCLIN I2,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000008047,Pachon-Control,-1.378879929,4.71E-05,card9,caspase recruitment domain family member 9 [Source:NCBI gene;Acc:103034770],CASPASE RECRUITMENT DOMAIN CONTAINING 9,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000000607,Pachon-Control,-1.372711668,0.000248188,snx10b,sorting nexin 10b [Source:ZFIN;Acc:ZDB-GENE-070628-1],SORTING NEXIN 10,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000008156,Pachon-Control,-1.310533133,0.000383815,and1,actinodin1 [Source:ZFIN;Acc:ZDB-GENE-030131-9105],AMBIGUOUS,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011400,Pachon-Control,-1.285185012,0.000152361,krcp,kelch repeat-containing protein [Source:ZFIN;Acc:ZDB-GENE-030131-2126],UNCHARACTERIZED,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000014247,Pachon-Control,-1.277715479,2.77E-05,and2,actinodin2 [Source:ZFIN;Acc:ZDB-GENE-041105-2],AMBIGUOUS,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000000592,Pachon-Control,-1.262590012,1.37E-05,foxm1,forkhead box M1 [Source:ZFIN;Acc:ZDB-GENE-040426-1275],FORKHEAD BOX M1 WINGED HELIX FACTOR FROM INS 1 CELLS,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000004220,Pachon-Control,-1.233259679,0.000126565,armc1l,armadillo repeat-containing protein 1-like [Source:NCBI gene;Acc:103028287],ARMADILLO REPEAT CONTAINING 1,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000005518,Pachon-Control,-1.225955039,3.13E-06,,gamma-glutamyl hydrolase-like [Source:NCBI gene;Acc:103026830],GAMMA GLUTAMYL HYDROLASE PRECURSOR EC_3.4.19.9 CONJUGASE GH GAMMA GLU X CARBOXYPEPTIDASE,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000007386,Pachon-Control,-1.218640762,1.30E-06,zgc:110540,deoxycytidine kinase-like [Source:NCBI gene;Acc:103029689],DEOXYCYTIDINE KINASE,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000028691,Pachon-Control,-1.215083226,1.17E-09,,uncharacterized LOC103034095 [Source:NCBI gene;Acc:103034095],,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011612,Pachon-Control,-1.172467253,2.34E-08,mxd3,MAX dimerization protein 3 [Source:NCBI gene;Acc:103027736],MAX DIMERIZATION 3 MAX DIMERIZER 3 MAX ASSOCIATED 3 MAX INTERACTING TRANSCRIPTIONAL REPRESSOR MAD3,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000021484,Pachon-Control,-1.167440557,1.60E-05,nox1,NADPH oxidase 1 [Source:NCBI gene;Acc:103042583],CYTOCHROME B 245 HEAVY CHAIN,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000003849,Pachon-Control,-1.156262617,4.36E-05,aurkb,aurora kinase B [Source:NCBI gene;Acc:103024192],AURORA KINASE B EC_2.7.11.1 AURORA 1 AURORA AND IPL1  MIDBODY ASSOCIATED 1 AURORA/IPL1 RELATED KINASE 2 ARK 2 AURORA RELATED KINASE 2 STK 1 SERINE/THREONINE KINASE 12 SERINE/THREONINE KINASE 5 SERINE/THREONINE KINASE AURORA B,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000028243,Pachon-Control,-1.141169135,0.000329529,,uncharacterized LOC103030054 [Source:NCBI gene;Acc:103030054],,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000013593,Pachon-Control,-1.131590575,0.000413578,acanb,aggrecan b [Source:ZFIN;Acc:ZDB-GENE-100422-16],AGGRECAN CORE CARTILAGE SPECIFIC PROTEOGLYCAN CORE CSPCP,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000014859,Pachon-Control,-1.120910849,0.000427008,zgc:158404,pleckstrin homology domain containing S1 [Source:NCBI gene;Acc:103042442],PLECKSTRIN HOMOLOGY DOMAIN CONTAINING FAMILY S MEMBER 1 PH DOMAIN CONTAINING FAMILY S MEMBER 1,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000008850,Pachon-Control,-1.117043054,1.14E-06,elf3,E74 like ETS transcription factor 3 [Source:NCBI gene;Acc:103047838],ETS RELATED TRANSCRIPTION FACTOR ELF 3 E74  FACTOR 3 EPITHELIAL RESTRICTED WITH SERINE BOX EPITHELIUM RESTRICTED ETS ESX EPITHELIUM SPECIFIC ETS TRANSCRIPTION FACTOR 1 ESE 1,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000019476,Pachon-Control,-1.109606253,3.74E-06,slc16a9b,solute carrier family 16 member 9 [Source:NCBI gene;Acc:103031440],MONOCARBOXYLATE TRANSPORTER 9 MCT 9 SOLUTE CARRIER FAMILY 16 MEMBER 9,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
