Marker,Chromosome,Linkage_Group,Cross,Start_Position_on_Chromosome,End_Position_on_Chromosome,LOD,Quantitative_Trait,Percent_Variance_Explained,Study_Specific_Information,Publication
Am135C,1,12,Pachon x Surface F2,3407244,3406836,NA,NA,NA,NA,Protas_et_al.2007
Am55B,1,12,Pachon x Surface F2,3407244,3406836,NA,NA,NA,NA,Protas_et_al.2008
Am55B,1,12,Pachon x Surface F2,3407244,3406836,NA,NA,NA,NA,Protas_et_al.2007
Am235B,1,12,Pachon x Surface F2,7025406,7025834,NA,NA,NA,NA,Protas_et_al.2008
Am235B,1,12,Pachon x Surface F2,7025406,7025834,NA,NA,NA,NA,Protas_et_al.2007
Am131C,1,12,Pachon x Surface F2,12578937,12579996,NA,NA,NA,NA,Protas_et_al.2008
Am131C,1,12,Pachon x Surface F2,12578937,12579996,NA,NA,NA,NA,Protas_et_al.2007
Am229A,2,15,Pachon x Surface F2,4694250,4694879,NA,NA,NA,NA,Protas_et_al.2008
Am229A,2,15,Pachon x Surface F2,4694250,4694879,NA,NA,NA,NA,Protas_et_al.2008
Am229A,2,15,Pachon x Surface F2,4694250,4694879,NA,NA,NA,NA,Protas_et_al.2008
RAD_50212,2,15,Pachon x Surface F2,8205549,8205454,NA,NA,NA,NA,Protas_et_al.2008
RAD_50212,2,15,Pachon x Surface F2,8205549,8205454,NA,NA,NA,NA,Protas_et_al.2008
RAD_50212,2,15,Pachon x Surface F2,8205549,8205454,NA,NA,NA,NA,Protas_et_al.2008
RAD_37299,2,15,Pachon x Surface F2,9532143,9532238,NA,NA,NA,NA,Protas_et_al.2008
RAD_37299,2,15,Pachon x Surface F2,9532143,9532238,NA,NA,NA,NA,Protas_et_al.2008
RAD_37299,2,15,Pachon x Surface F2,9532143,9532238,NA,NA,NA,NA,Protas_et_al.2008
RAD_99634,2,15,Pachon x Surface F2,12533010,12533105,NA,NA,NA,NA,Protas_et_al.2008
RAD_99634,2,15,Pachon x Surface F2,12533010,12533105,NA,NA,NA,NA,Protas_et_al.2008
RAD_99634,2,15,Pachon x Surface F2,12533010,12533105,NA,NA,NA,NA,Protas_et_al.2008
Am125C,3,2,Pachon x Surface F2,3928445,3927733,NA,NA,NA,NA,Protas_et_al.2008
Am125C,3,2,Pachon x Surface F2,3928445,3927733,NA,NA,NA,NA,Protas_et_al.2008
Am125C,3,2,Pachon x Surface F2,3928445,3927733,NA,NA,NA,NA,Protas_et_al.2008
Am125C,3,2,Pachon x Surface F2,3928445,3927733,NA,NA,NA,NA,Protas_et_al.2008
Am125C,3,2,Pachon x Surface F2,3928445,3927733,NA,NA,NA,NA,Protas_et_al.2008
Am125C,3,2,Pachon x Surface F2,3928445,3927733,NA,NA,NA,NA,Protas_et_al.2008
Am125C,3,2,Pachon x Surface F2,3928445,3927733,NA,NA,NA,NA,Protas_et_al.2007
Am125C,3,2,Pachon x Surface F2,3928445,3927733,NA,NA,NA,NA,Protas_et_al.2007
Am125C,3,2,Pachon x Texas Surface F2 and F3,3928445,3927733,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
Am125C,3,2,Pachon x Texas Surface F2 and F3,3928445,3927733,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
Am125C,3,2,Pachon x Texas Surface F2 and F3,3928445,3927733,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
Am125C,3,2,Pachon x Texas Surface F2 and F3,3928445,3927733,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2015
Am125C,3,2,Pachon x Texas Surface F2,3928445,3927733,NA,NA,NA,NA,O.Quin.et.al.2012
Am106C,3,2,Pachon x Surface F2,9460216,9459776,NA,NA,NA,NA,Protas_et_al.2007
Am17B,3,2,Pachon x Surface F2,12459459,12458975,NA,NA,NA,NA,Protas_et_al.2008
Am17B,3,2,Pachon x Surface F2,12459459,12458975,NA,NA,NA,NA,Protas_et_al.2008
Am17B,3,2,Pachon x Surface F2,12459459,12458975,NA,NA,NA,NA,Protas_et_al.2008
Am17B,3,2,Pachon x Surface F2,12459459,12458975,NA,NA,NA,NA,Protas_et_al.2008
Am17B,3,2,Pachon x Surface F2,12459459,12458975,NA,NA,NA,NA,Protas_et_al.2008
Am17B,3,2,Pachon x Surface F2,12459459,12458975,NA,NA,NA,NA,Protas_et_al.2008
Am17B,3,2,Pachon x Surface F2,12459459,12458975,NA,NA,NA,NA,Protas_et_al.2008
Am17B,3,2,Pachon x Surface F2,12459459,12458975,NA,NA,NA,NA,Protas_et_al.2007
