Stable_Gene_ID,Gene_Name,Gene_Description,GO_Terms,Pi_Tinaja,Pi_RioChoy,Pi_Molino,Pi_Pachon,Pi_Rascon,Dxy_RioChoy:Molino,Dxy_Rascon:Pachon,Dxy_Rascon:Tinaja,Fst_Rascon:Tinaja,Fst_Pachon:Rascon,Fst_RioChoy:Molino,Fst_RioChoy:Pachon,Fst_RioChoy:Tinaja,Dxy_RioChoy:Pachon,Dxy_RioChoy:Tinaja,TajimasD_Molino,TajimasD_RioChoy,TajimasD_Pachon,TajimasD_Tinaja,TajimasD_Rascon,Fst_Rascon:Molino,Dxy_Rascon:Molino
ENSAMXG00000008771,PRDM15,PR domain containing 15 [Source:HGNC Symbol;Acc:HGNC:13999],nucleic acid binding;metal ion binding,0.000471085,0.001472,0.0000646,0.0000647,0.00034691,0.002164781,0.000964985,0.000758045,0.227806575,0.427039786,0.390352593,0.186631055,0.210586064,0.001345056,0.001770405,0,-0.34371,0,-0.310733,-0.539933,0.730805433,0.002750275
ENSAMXG00000008524,GARNL3,GTPase activating Rap/RanGAP domain-like 3 [Source:HGNC Symbol;Acc:HGNC:25425],regulation of small GTPase mediated signal transduction;GTPase activator activity;positive regulation of GTPase activity,0.000130506,0.000424357,0,0,0.000217794,0.000489396,0.000108897,0.000174235,0.0465116,0.0465116,0.566406,0.046384593,0.031581093,0.000235635,0.000291825,NA,NA,NA,NA,NA,0.22723714,0.000435587
ENSAMXG00000003801,FAM155A (1 of 2),"family with sequence similarity 155, member A [Source:HGNC Symbol;Acc:HGNC:33877]",integral component of membrane;membrane,0.000237417,0,0,0,0,0,0,0.002018044,0.929278,NA,NA,NA,0.941176,0,0.002018044,NA,NA,NA,NA,NA,NA,0
ENSAMXG00000020602,nkain1,Na+/K+ transporting ATPase interacting 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1472],integral component of membrane;membrane,0.000630217,0.000584322,0,0,0.001078751,0.00514653,0.003236246,0.003114887,0.4333718,0.4892593,0.603136532,0.592363308,0.68120565,0.004944265,0.004630753,NA,NA,NA,NA,NA,0.40538152,0.003505933
ENSAMXG00000019906,cemip,"cell migration inducing protein, hyaluronan binding [Source:ZFIN;Acc:ZDB-GENE-130103-7]",integral component of membrane;membrane,0.000698487,0.002838464,0,0,0.001365949,0.002186491,0.002057328,0.001768377,0.272656545,0.36077672,0.255565696,0.259680524,0.194144643,0.003175351,0.002876115,NA,NA,NA,NA,NA,0.22709977,0.001410079
ENSAMXG00000007360,prdx5,peroxiredoxin 5 [Source:ZFIN;Acc:ZDB-GENE-050522-159],antioxidant activity;oxidation-reduction process;oxidoreductase activity;fin regeneration,0,0.001930546,0,0,0,0.00118624,0,0,NA,NA,0.152777667,0.573036017,0.573036017,0.006326611,0.006326611,NA,NA,NA,NA,NA,1,0.005338078
ENSAMXG00000011542,nrg3b,neuregulin 3b [Source:ZFIN;Acc:ZDB-GENE-130603-38],protein binding;integral component of membrane;membrane,0.000219298,0.000803647,0,0,0.001687328,0.004215141,0.002967172,0.003068182,0.423229189,0.37724693,0.778049714,0.491042333,0.367220675,0.001179345,0.0012341,NA,0.551687,NA,-1.1407,-1.02555,0.2196339,0.001958554
ENSAMXG00000014830,stxbp5l,syntaxin binding protein 5-like [Source:ZFIN;Acc:ZDB-GENE-041210-220],protein binding;vesicle-mediated transport;integral component of membrane,0.000299493,0.001350034,0,0.000607112,0.000779599,0.001524243,0.001974322,0.001094961,0.276197092,0.389554538,0.22324428,0.199044984,0.255406368,0.001855466,0.002042578,NA,NA,NA,NA,NA,0.12620823,0.000484637
ENSAMXG00000019844,IL16,interleukin 16 [Source:HGNC Symbol;Acc:HGNC:5980],"protein binding;cytokine activity;negative regulation of transcription, DNA-templated;response to light stimulus;response to temperature stimulus",0.000507506,0.002842839,0.0000267,0.0000644,0.001352295,0.003384771,0.001649472,0.002357246,0.285089773,0.238704173,0.380288939,0.203873415,0.212996382,0.002705818,0.003190796,NA,NA,NA,NA,NA,0.384487626,0.003090122
ENSAMXG00000000931,sema3d,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D [Source:ZFIN;Acc:ZDB-GENE-990715-2]",protein binding;peripheral nervous system development;axon guidance;neural crest cell development;neural crest cell migration;cartilage development;embryonic heart tube development;fin regeneration;regulation of cell cycle;axonal fasciculation;regulation of axon extension;embryonic skeletal joint morphogenesis;neural crest cell differentiation;thymus development;retinal ganglion cell axon guidance;cardioblast differentiation;peripheral nervous system neuron axonogenesis;enteric nervous system development;cell proliferation in hindbrain;larval heart development,0.001181037,0.001526153,0.000126285,0.000224226,0.001249074,0.001368613,0.002470063,0.001783073,0.164366006,0.382432407,0.187844485,0.230658616,0.216378451,0.002271878,0.002643202,0,-1.45816,-1.92886,0.736463,-1.37335,0.314358281,0.002361529
ENSAMXG00000007414,dock8,dedicator of cytokinesis 8 [Source:ZFIN;Acc:ZDB-GENE-060503-743],binding;positive regulation of GTPase activity;guanyl-nucleotide exchange factor activity;small GTPase mediated signal transduction;intracellular,0.0000649,0.001476007,0,0.000314036,0.000812735,0.001575231,0.001053753,0.000971078,0.225227478,0.196838868,0.327862372,0.273640168,0.306841836,0.001990278,0.002105324,NA,NA,NA,NA,NA,0.40290994,0.002157951
