,Stable_Gene_ID,Gene_Name,Gene_Description,GO_Terms,Pi_Tinaja,Pi_RioChoy,Pi_Molino,Pi_Pachon,Pi_Rascon,Dxy_RioChoy:Molino,Dxy_Rascon:Pachon,Dxy_Rascon:Tinaja,Fst_Rascon:Tinaja,Fst_Pachon:Rascon,Fst_RioChoy:Molino,Fst_RioChoy:Pachon,Fst_RioChoy:Tinaja,Dxy_RioChoy:Pachon,Dxy_RioChoy:Tinaja,TajimasD_Molino,TajimasD_RioChoy,TajimasD_Pachon,TajimasD_Tinaja,TajimasD_Rascon
1,ENSAMXG00000025534,adra2b,adrenoceptor alpha 2B [Source:ZFIN;Acc:ZDB-GENE-021010-2],regulation of smooth muscle contraction;alpha2-adrenergic receptor activity;platelet activation;regulation of vasoconstriction;adrenergic receptor signaling pathway;G-protein coupled receptor signaling pathway;signal transduction;G-protein coupled receptor activity;signal transducer activity;integral component of membrane;membrane;negative regulation of adenylate cyclase activity,0.000261498,0.001652336,0,0.000627963,0.000652995,0.002847879,0.00305275,0,0.602068617,0.463712211,0.39200634,0.389444657,0.217049666,0.003569926,0.002303715,NA,-0.662978,-0.340995,-1.36694,-1.52733
2,ENSAMXG00000026504,adra2c,adrenoceptor alpha 2C [Source:ZFIN;Acc:ZDB-GENE-021010-3],regulation of smooth muscle contraction;alpha2-adrenergic receptor activity;platelet activation;regulation of vasoconstriction;adrenergic receptor signaling pathway;adrenergic receptor activity;plasma membrane;G-protein coupled receptor signaling pathway;signal transduction;G-protein coupled receptor activity;signal transducer activity;integral component of membrane;membrane;negative regulation of adenylate cyclase activity,0.000309332,0.001272378,0.000405016,0,0.000323904,0.001182638,0.000593824,0,0.4049276,0.790343,0.356362667,0.182552025,0.09450525,0.000821229,0.000888414,NA,NA,NA,NA,NA
3,ENSAMXG00000025208,adrb1,adrenoceptor beta 1 [Source:ZFIN;Acc:ZDB-GENE-081022-145],adrenergic receptor signaling pathway;adrenergic receptor activity;plasma membrane;G-protein coupled receptor signaling pathway;signal transduction;G-protein coupled receptor activity;signal transducer activity;integral component of membrane;membrane,0,0.000552045,0,0.000338195,0.001338691,0.000806498,0.000870147,0,0.044065225,0.054610644,0.688029,0.503953533,0.576463533,0.001591087,0.00179189,NA,-0.136626,0,NA,-1.98343
4,ENSAMXG00000004872,ccr7,chemokine (C-C motif) receptor 7 [Source:ZFIN;Acc:ZDB-GENE-060522-2],neutrophil activation;chemokine receptor activity;chemokine-mediated signaling pathway;C-X-C chemokine receptor activity;chemotaxis;G-protein coupled receptor signaling pathway;signal transduction;G-protein coupled receptor activity;signal transducer activity;integral component of membrane;membrane;dorsal/ventral pattern formation;negative regulation of catenin import into nucleus,0.00052536,0.000570116,0,0,0.001237419,0.000308782,0.002268603,0,0.5460102,0.6436975,0.0486111,0.060738933,0.030461727,0.000308782,0.00056589,NA,NA,NA,NA,NA
5,ENSAMXG00000010560,CHRM1 (1 of 2),"cholinergic receptor, muscarinic 1 [Source:HGNC Symbol;Acc:HGNC:1950]",gastric acid secretion;G-protein coupled acetylcholine receptor activity;G-protein coupled acetylcholine receptor signaling pathway;postsynaptic membrane;cell junction;synapse;integral component of plasma membrane;plasma membrane;G-protein coupled receptor signaling pathway;signal transduction;G-protein coupled receptor activity;signal transducer activity;integral component of membrane;membrane,0.000286289,0.001779635,0,0.002405328,0.000930449,0.001383086,0.002673102,0,0.6339306,0.27170762,0.243833567,0.487687571,0.475074714,0.003590865,0.003595163,NA,NA,NA,NA,NA
6,ENSAMXG00000025106,DRD1 (2 of 2),dopamine receptor D1 [Source:HGNC Symbol;Acc:HGNC:3020],dopamine neurotransmitter receptor activity;dopamine receptor signaling pathway;integral component of plasma membrane;G-protein coupled receptor signaling pathway;signal transduction;G-protein coupled receptor activity;signal transducer activity;integral component of membrane;membrane,0.000555116,0.002665825,0.000497568,0,0.000834557,0.004000888,0.003165559,0,0.535788917,0.6736062,0.298377461,0.295741927,0.237554844,0.003530963,0.002628678,NA,NA,NA,NA,NA
7,ENSAMXG00000018359,drd2a,dopamine receptor D2a [Source:ZFIN;Acc:ZDB-GENE-021119-2],adenylate cyclase-inhibiting dopamine receptor signaling pathway;dopamine neurotransmitter receptor activity;G-protein coupled receptor signaling pathway;signal transduction;G-protein coupled receptor activity;signal transducer activity;integral component of membrane;membrane,0.002425225,0.000457343,0,0,0.001022831,0.001919102,0.000525053,0,0.1553265,0.064278083,0.673673767,0.05129802,0.229538505,0.000246039,0.001928944,NA,NA,NA,NA,NA
8,ENSAMXG00000014808,drd3,dopamine receptor D3 [Source:ZFIN;Acc:ZDB-GENE-021119-1],adenylate cyclase-inhibiting dopamine receptor signaling pathway;dopamine neurotransmitter receptor activity;integral component of plasma membrane;G-protein coupled receptor signaling pathway;signal transduction;G-protein coupled receptor activity;signal transducer activity;integral component of membrane;membrane,0.000978997,0.001522616,0.000458978,8.61E-05,0.001160486,0.003621629,0.002467011,0,0.425968117,0.475957533,0.662882833,0.283111074,0.412317436,0.001957831,0.00378555,0,-0.446168,0,-1.04929,0.0635342
9,ENSAMXG00000015376,ednrba,endothelin receptor Ba [Source:ZFIN;Acc:ZDB-GENE-980526-16],endothelin receptor signaling pathway;enteric nervous system development;endothelin receptor activity;vasoconstriction;regulation of blood pressure;G-protein coupled receptor signaling pathway;signal transduction;G-protein coupled receptor activity;signal transducer activity;integral component of membrane;membrane;developmental pigmentation;iridophore differentiation;regulation of developmental pigmentation,0.000312221,0.000661487,0.000448654,0,0.000282486,0.000782721,0.001553672,0,0.7853145,0.932007,0.236613467,0.37861793,0.34200643,0.002053908,0.001884416,NA,-0.996793,NA,NA,NA
10,ENSAMXG00000025607,gpr12,G protein-coupled receptor 12 [Source:ZFIN;Acc:ZDB-GENE-100209-3],G-protein coupled receptor signaling pathway;signal transduction;G-protein coupled receptor activity;signal transducer activity;integral component of membrane;membrane,0.000380717,0.000890627,0,0.000108613,0.000622057,0.003475616,0.002063647,0,0.466053675,0.499676425,0.6710744,0.470223388,0.450942588,0.002443793,0.002400348,NA,NA,NA,NA,NA
