"","Gene_stable_ID","Comparison","logFC","PValue","Gene_name","Gene_description","Ensembl_Family_Description","Condition","Publication"
"1","ENSAMXG00000014853","Rio Choy-Control",1.341788782,7.23e-05,"si:ch211-28p3.4","E3 ubiquitin-protein ligase TRIM39-like [Source:NCBI gene;Acc:103041412]","AMBIGUOUS","Sleep deprivation","McGaugh_2020"
"2","ENSAMXG00000006244","Rio Choy-Control",1.630119136,1e-04,"","","MONOFUNCTIONAL C1 TETRAHYDROFOLATE SYNTHASE MITOCHONDRIAL PRECURSOR EC_6.3.4.3 FORMYLTETRAHYDROFOLATE SYNTHETASE","Sleep deprivation","McGaugh_2020"
"3","ENSAMXG00000006096","Rio Choy-Control",0.783450065,0.00023196,"st14b","suppression of tumorigenicity 14 (colon carcinoma) b [Source:ZFIN;Acc:ZDB-GENE-061103-613]","OF TUMORIGENICITY 14","Sleep deprivation","McGaugh_2020"
"4","ENSAMXG00000008834","Rio Choy-Control",1.349950749,3.8e-08,"cdkn1a","cyclin dependent kinase inhibitor 1A [Source:NCBI gene;Acc:103047217]","CYCLIN DEPENDENT KINASE INHIBITOR 1 CDK INTERACTING 1 MELANOMA DIFFERENTIATION ASSOCIATED P21","Sleep deprivation","McGaugh_2020"
"5","ENSAMXG00000002363","Rio Choy-Control",0.983414484,0.000134929,"hspa9","heat shock protein family A (Hsp70) member 9 [Source:NCBI gene;Acc:103036922]","UNKNOWN","Sleep deprivation","McGaugh_2020"
"6","ENSAMXG00000000193","Rio Choy-Control",0.936020704,8.94e-05,"slc38a5a","sodium-coupled neutral amino acid transporter 3 [Source:NCBI gene;Acc:103043756]","SODIUM COUPLED NEUTRAL AMINO ACID TRANSPORTER 5 SOLUTE CARRIER FAMILY 38 MEMBER 5 SYSTEM N TRANSPORTER 2","Sleep deprivation","McGaugh_2020"
"7","ENSAMXG00000018360","Rio Choy-Control",0.957896832,0.000299287,"cdc6","cell division cycle 6 [Source:NCBI gene;Acc:103046129]","ORIGIN RECOGNITION COMPLEX SUBUNIT 1","Sleep deprivation","McGaugh_2020"
"8","ENSAMXG00000012927","Rio Choy-Control",0.997823769,0.000158498,"chkb","choline kinase beta [Source:NCBI gene;Acc:103026027]","KINASE","Sleep deprivation","McGaugh_2020"
"9","ENSAMXG00000024924","Rio Choy-Control",1.014974966,1.74e-05,"nfil3","nuclear factor, interleukin 3 regulated [Source:NCBI gene;Acc:103027126]","NUCLEAR FACTOR INTERLEUKIN 3 REGULATED E4 PROMOTER BINDING 4","Sleep deprivation","McGaugh_2020"
"10","ENSAMXG00000009111","Rio Choy-Control",0.894731516,0.000652499,"taz","tafazzin [Source:ZFIN;Acc:ZDB-GENE-030131-684]","TAFAZZIN","Sleep deprivation","McGaugh_2020"
