"","Gene_stable_ID","Gene_name","Comparison","logFC","PValue","study_specific_gene_details","Condition","Publication"
"2","ENSAMXG00000012424","bfsp2","Molino-Rio Choy",13.62521463,0,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"4","ENSAMXG00000013063","cryba1l1","Molino-Rio Choy",11.91826575,0,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"7","ENSAMXG00000013053","crybb1l1","Molino-Rio Choy",13.93995344,0,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"8","ENSAMXG00000018024","crygn2","Molino-Rio Choy",12.51238275,0,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"10","ENSAMXG00000007889","cryba4","Molino-Rio Choy",13.65000374,3.71e-306,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"21","ENSAMXG00000017530","si:dkey-57a22.15","Molino-Rio Choy",11.51632196,1.13e-212,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"25","ENSAMXG00000016494","zgc:112285","Molino-Rio Choy",10.86084726,1.92e-197,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"26","ENSAMXG00000020636","si:dkey-12e7.4","Molino-Rio Choy",4.633656092,1.96e-195,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"28","ENSAMXG00000006368","opn1lw1","Molino-Rio Choy",5.87830846,9.92e-193,"Arrhythmic","Between morph","Mack_et_al_2020"
"29","ENSAMXG00000009562","lim2.5","Molino-Rio Choy",10.5878056,7.01e-187,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"30","ENSAMXG00000008342","cplx4a","Molino-Rio Choy",4.043691187,1.35e-179,"Arrhythmic","Between morph","Mack_et_al_2020"
"34","ENSAMXG00000008095","cryaa","Molino-Rio Choy",10.24014068,1.8e-162,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"37","ENSAMXG00000017742","crybb1l3","Molino-Rio Choy",9.662572808,9.7e-158,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40","ENSAMXG00000004706","pex6","Molino-Rio Choy",3.073936593,1.8e-145,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"42","ENSAMXG00000020081","endou2","Molino-Rio Choy",9.089087874,1.19e-140,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"46","ENSAMXG00000005989","RNF180 (1 of 2)","Molino-Rio Choy",8.994348467,1.87e-133,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"49","ENSAMXG00000006695","btbd17b","Molino-Rio Choy",2.742514599,3.67e-125,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"50","ENSAMXG00000006194","lctla","Molino-Rio Choy",8.652727057,3.64e-124,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"51","ENSAMXG00000013116","cpa2","Molino-Rio Choy",9.844040612,5.41e-123,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
